BookTitle,AuthorName,SellingPrice,ListingPrice,TypeofBook,PrintLength,PublicationDate,Rating,ReviewCount,Availability
People and Data: Uniting to Transform Your Business,Thomas C. Redman,24.99,29.99,Paperback,264,2023-07-03,4.7,15,In stock
Data Governance Success: Growing and Sustaining Data Governance,Rupa Mahanti,44.99,0.0,Paperback,247,2022-12-15,0.0,0,In stock
"Trust.: Responsible AI, Innovation, Privacy and Data Leadership",Dominique Shelton  Leipzig,0.0,0.0,Kindle Edition,0,2023-12-26,4.6,52,Out of stock
Python for Data Science For Dummies (For Dummies (Computer/tech)),John Paul Muelle,19.15,26.99,Paperback,464,2023-11-06,4.7,4,In stock
King Charles III England Coast Path Planner and Data Book: The South West Coast (Includes the entire South West Coast Path),Christine Saul,0.0,0.0,[Print Replica] Kindle Edition,0,2024-06-06,0.0,0,Out of stock
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,37.99,0.0,Paperback,578,2023-06-30,4.6,7,In stock
AI & The Data Revolution: How Teams can Harness Disruption to Conquer Turmoil,Laura Madsen,34.99,39.99,Paperback,209,2024-07-01,5.0,3,In stock
The Unified Star Schema: An Agile and Resilient Approach to Data Warehouse and Analytics Design,Bill Inmon,44.05,44.99,Paperback,294,2020-10-12,4.3,60,In stock
"Excel: Comprehensive Resource with Formulas, Functions, Examples, Secrets, Illustrations, Practical Tips, and Versatile Templates for All Users",Taylor Gran,4.87,0.0,Paperback,207,2024-07-07,5.0,17,In stock
Fundamentals of Data Observability: Implement Trustworthy End-To-End Data Solutions,Andy Petrella,38.06,52.99,Paperback,264,2023-09-19,4.0,3,Only 3 left in stock.
Text as Data: A New Framework for Machine Learning and the Social Sciences,Justin Grimme,29.63,38.0,Paperback,360,2022-03-29,4.4,38,Only 2 left in stock (more on the way).
"Data-Driven Sales: Learn how B2B sales leaders at HubSpot, Salesloft, and other top companies use data to grow faster",Clearbi,14.38,0.0,Paperback,148,2018-04-25,3.9,14,In stock
Analysing Data For Your PhD: An Introduction (PhD Guides Book 3),Helen Kara,0.0,0.0,Kindle Edition,0,2023-02-21,0.0,0,Out of stock
Creating a Data–Driven Organization: Practical Advice from the Trenches,Carl Anderson,24.69,31.99,Paperback,302,2015-08-04,4.3,127,In stock
50 Page Accident/Injury Report Book A4 Complies with Data Protection Act 1998,Unknown,7.85,8.34,Unknown,0,1970-01-01,5.0,2,Only 14 left in stock.
Pat Testing Log Book: Record More than 2000 Entries| Large Print UK Edition| Electrical Appliances Safety Certificate | Portable Appliance Testing ... | Equipment for PAT Tester | 100 Pages,Data Pro Publishing,5.99,0.0,Paperback,106,2021-05-19,4.6,68,In stock
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),Paul McFedries,23.35,32.99,Paperback,368,2022-02-03,4.1,38,Only 14 left in stock (more on the way).
"How to Use Customer Data: Navigating GDPR, DPDI and a Future with Marketing AI",Sachiko Scheuing,34.97,0.0,Paperback,296,2024-06-03,5.0,1,In stock
Drawing Data with Kids: Cultivating Data-Literacy: A Screen-Free Journey through the Art of Visualization for Kids,Gulrez Khan,13.99,15.67,Paperback,126,2023-07-07,4.5,30,Only 4 left in stock (more on the way).
"SQL Made Easy: The Ultimate Guide For Beginners on Data Querying, Manipulation and Analysis using Real-World Context to Advance Your Career in Data Analytics",Alex Wade,14.99,0.0,Paperback,180,2024-03-13,4.9,18,In stock
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,James Densmore,12.76,23.99,Paperback,200,2021-03-31,4.5,346,In stock
Data Cartels: The Companies That Control and Monopolize Our Information,Sarah Lamdan,18.85,21.99,Paperback,224,2022-11-08,4.0,16,Only 1 left in stock (more on the way).
Analysing data,Helen Kara,0.0,0.0,Kindle Edition,0,2013-11-20,4.8,5,Out of stock
Data Literacy for Kids,"Kathleen Yu 
(Author, Illustra",12.46,0.0,Paperback,71,2023-07-22,5.0,4,In stock
Azure Data Factory Cookbook: Build and manage ETL and ELT pipelines with Microsoft Azure's serverless data integration service,Dmitry Anoshin,37.99,0.0,Paperback,382,2021-01-11,4.0,41,In stock
General Data Protection Regulation (GDPR) (Laws & Treaties Book 2),European  Commission,0.0,0.0,Kindle Edition,0,2023-07-29,0.0,0,Out of stock
The Afterlife of Data: What Happens to Your Information When You Die and Why You Should Care,Carl Öhman,0.0,0.0,Kindle Edition,0,2024-05-22,4.0,1,Out of stock
Data Center Design from Beginner to Professional,B.A. Ayomaya,24.69,0.0,Paperback,383,2021-04-14,3.9,14,In stock
"A Common–Sense Guide to Data Structures and Algorithms, 2e: Level Up Your Core Programming Skills",Jan Wengrow,23.44,36.99,Paperback,250,2020-06-30,4.8,733,In stock
Functional Aesthetics for Data Visualization,Vidya Setl,22.29,30.99,Paperback,336,2022-08-08,4.4,12,Only 7 left in stock (more on the way).
Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press),Murtaza Haide,0.0,0.0,"1st Edition, Kindle Edition",0,2015-12-14,4.5,114,Out of stock
Mastering the Data Paradox: Key to Winning in the AI Age,Nitin Se,18.12,27.99,Hardcover,400,2024-04-01,4.8,324,Only 8 left in stock.
Resiliência Cibernética: Domine Estratégias de Segurança e Inteligências Artificiais Generativas (Portuguese Edition),Alessandro Carvalho Coutin,0.0,0.0,Kindle Edition,0,2024-07-09,5.0,6,Out of stock
Data Is Everybody's Business: The Fundamentals of Data Monetization (Management on the Cutting Edge),Barbara H. Wixom,0.0,0.0,Kindle Edition,0,2023-09-26,4.3,31,Out of stock
Data Discovery: How data is used and analyzed in business (D.A.T.A. Series Book 1),Todd Kelsey,0.0,0.0,Kindle Edition,0,2023-04-08,5.0,1,Out of stock
"SSIS Data Warehouse Development - 101 Interview Questions: Earn over £50,000 per annum using SSIS and SQL Server (The Data Engineering Series)",Jack Reynolds,0.0,0.0,Kindle Edition,0,2019-03-27,4.0,6,Out of stock
"AI IN BUSINESS: Leveraging Generative Artificial Intelligence to Drive Innovation, Improve Customer Experience & Gain a Competitive Advantage for Industry Leaders",James Robe,0.0,0.0,Kindle Edition,0,2024-07-02,4.7,34,Out of stock
